uni,city,zip,latitude,longitude,admission,act,sat,under,cost,debt
Louisiana State University-Shreveport,Shreveport,71115-2399,32.428768,-93.703762,0.766666667,23,1050,2640,15753,11745
Indiana University-East,Richmond,47374-1289,39.867099,-84.886187,0.637608069,21,943,3200,15743,12500
SUNY College at Old Westbury,Old Westbury,11568-0210,40.789842,-73.570966,0.623495702,22,995,4173,15734,13000
Indiana University-Kokomo,Kokomo,46904-9003,40.459913,-86.132096,0.672585227,20,934,2724,15652,11420.5
California State University-Fullerton,Fullerton,92831-3599,33.883627,-117.885349,0.444683189,22,1021,32610,15627,12500
University of Wisconsin-Parkside,Kenosha,53141-2000,42.646074,-87.855407,0.8601723,21,990,4274,15502,12607
University of North Alabama,Florence,35632-0001,34.80658,-87.680999,0.678842676,22,1029,5485,15494,12638
Fairmont State University,Fairmont,26554-2470,39.485925,-80.161844,0.665117941,21,965,3699,15483,12798
Rhode Island College,Providence,2908,41.84266,-71.466915,0.654537937,19,918,7271,15480,14171.5
University of Arkansas at Pine Bluff,Pine Bluff,71601,34.242192,-92.021263,0.386830103,19,886,2391,15409,13473.5
Eastern New Mexico University-Main Campus,Portales,88130,34.179015,-103.348046,0.630630631,20,935,3731,15405,8500
Rust College,Holly Springs,38635,34.776862,-89.446999,0.388514165,16,760,963,15284,9800
Louisiana State University-Alexandria,Alexandria,71302-9121,31.178616,-92.414409,0.545454545,21,987,2244,15182,7750
Northern Kentucky University,Highland Heights,41099,39.029221,-84.465959,0.907198474,23,1046,11654,15159,14250
West Virginia University Institute of Technology,Montgomery,25136,38.179427,-81.325199,0.847189911,21,1065,1115,15130,14063
University of North Georgia,Dahlonega,30597,34.530527,-83.986574,0.694781796,22,1016,14976,15088,7320.5
Bluefield State College,Bluefield,24701,37.26688,-81.235428,0.383365201,20,927,1529,14965,11700
University of Science and Arts of Oklahoma,Chickasha,73018-5322,35.031392,-97.95641,0.675485009,23,1039,845,14731,10500
Minot State University,Minot,58707,48.246877,-101.300624,0.576774194,23,1035,2570,14689,11563
West Virginia State University,Institute,25112-1000,38.379002,-81.76802,0.41437959,20,942,2237,14689,11087
Metropolitan State University of Denver,Denver,80217-3362,39.742248,-105.002391,0.651073374,21,973,20583,14522,12775
